,0
0,angry
1,disgusted
2,fearful
3,happy
4,neutral
5,surprised
6,sad
7,angry
8,disgusted
9,fearful
10,happy
11,neutral
12,angry
13,sad
14,angry
15,disgusted
16,fearful
17,happy
18,neutral
19,surprised
20,sad
21,angry
22,disgusted
23,fearful
24,happy
25,neutral
26,surprised
27,happy
28,neutral
29,disgusted
30,fearful
31,neutral
32,neutral
33,angry
34,sad
35,angry
36,disgusted
37,fearful
38,happy
39,neutral
40,surprised
41,sad
42,angry
43,disgusted
44,fearful
45,happy
46,surprised
47,sad
48,angry
49,disgusted
50,fearful
51,happy
52,neutral
53,angry
54,sad
55,angry
56,disgusted
57,neutral
58,happy
59,neutral
60,surprised
61,sad
62,angry
63,disgusted
64,fearful
65,happy
66,neutral
67,surprised
68,sad
69,angry
70,disgusted
71,fearful
72,happy
73,neutral
74,happy
75,sad
76,neutral
77,disgusted
78,fearful
79,neutral
80,neutral
81,surprised
82,sad
83,angry
84,disgusted
85,fearful
86,happy
87,neutral
88,angry
89,sad
90,angry
91,disgusted
92,fearful
93,happy
94,neutral
95,surprised
96,sad
97,angry
98,disgusted
99,fearful
100,happy
101,neutral
102,surprised
103,sad
104,angry
105,disgusted
106,fearful
107,happy
108,neutral
109,surprised
110,sad
111,neutral
112,disgusted
113,fearful
114,neutral
115,neutral
116,surprised
117,sad
118,angry
119,disgusted
120,fearful
121,happy
122,neutral
123,surprised
124,sad
125,angry
126,disgusted
127,fearful
128,happy
129,neutral
130,surprised
131,sad
132,angry
133,disgusted
134,fearful
135,happy
136,neutral
137,angry
138,sad
139,angry
140,disgusted
141,fearful
142,happy
143,neutral
144,surprised
145,sad
146,angry
147,disgusted
148,fearful
149,happy
150,neutral
151,surprised
152,sad
153,angry
154,disgusted
155,fearful
156,happy
157,neutral
158,fearful
159,sad
160,angry
161,disgusted
162,fearful
163,happy
164,neutral
165,surprised
166,sad
167,angry
168,disgusted
169,fearful
170,happy
171,neutral
172,surprised
173,sad
174,angry
175,disgusted
176,fearful
177,happy
178,neutral
179,angry
180,disgusted
181,angry
182,disgusted
183,fearful
184,happy
185,neutral
186,disgusted
187,sad
188,angry
189,disgusted
190,fearful
191,disgusted
192,neutral
193,angry
194,sad
195,angry
196,disgusted
197,fearful
198,happy
199,neutral
200,surprised
201,happy
202,angry
203,disgusted
204,fearful
205,happy
206,neutral
207,disgusted
208,sad
209,angry
210,disgusted
211,fearful
212,happy
213,neutral
214,disgusted
215,sad
216,angry
217,disgusted
218,fearful
219,happy
220,neutral
221,surprised
222,disgusted
223,angry
224,disgusted
225,fearful
226,happy
227,neutral
228,surprised
229,happy
230,angry
231,disgusted
232,fearful
233,happy
234,neutral
235,surprised
236,disgusted
237,angry
238,disgusted
239,fearful
240,happy
241,neutral
242,surprised
243,disgusted
244,angry
245,disgusted
246,fearful
247,happy
248,neutral
249,disgusted
250,sad
251,angry
252,disgusted
253,fearful
254,happy
255,neutral
256,disgusted
257,sad
258,angry
259,disgusted
260,fearful
261,happy
262,neutral
263,surprised
264,sad
265,angry
266,disgusted
267,fearful
268,happy
269,neutral
270,surprised
271,sad
272,angry
273,disgusted
274,fearful
275,happy
276,neutral
277,angry
278,sad
279,angry
280,disgusted
281,fearful
282,happy
283,neutral
284,angry
285,sad
286,angry
287,disgusted
288,fearful
289,happy
290,neutral
291,surprised
292,sad
293,angry
294,disgusted
295,fearful
296,happy
297,neutral
298,surprised
299,sad
300,angry
301,disgusted
302,fearful
303,disgusted
304,neutral
305,surprised
306,sad
307,angry
308,disgusted
309,fearful
310,happy
311,neutral
312,angry
313,sad
314,angry
315,disgusted
316,fearful
317,happy
318,neutral
319,angry
320,sad
321,angry
322,disgusted
323,fearful
324,happy
325,neutral
326,surprised
327,sad
328,angry
329,disgusted
330,fearful
331,happy
332,neutral
333,surprised
334,sad
335,angry
336,disgusted
337,fearful
338,happy
339,neutral
340,surprised
341,sad
342,neutral
343,disgusted
344,fearful
345,neutral
346,neutral
347,surprised
348,sad
349,angry
350,disgusted
351,fearful
352,happy
353,neutral
354,angry
355,sad
356,angry
357,disgusted
358,fearful
359,disgusted
360,neutral
361,surprised
362,sad
363,angry
364,disgusted
365,fearful
366,happy
367,neutral
368,surprised
369,sad
370,neutral
371,disgusted
372,fearful
373,neutral
374,neutral
375,surprised
376,sad
377,angry
378,disgusted
379,fearful
380,happy
381,neutral
382,fearful
383,sad
384,angry
385,disgusted
386,fearful
387,happy
388,neutral
389,surprised
390,sad
391,angry
392,disgusted
393,fearful
394,happy
395,neutral
396,surprised
397,happy
398,angry
399,disgusted
400,fearful
401,happy
402,neutral
403,surprised
404,sad
405,angry
406,disgusted
407,fearful
408,happy
409,neutral
410,surprised
411,sad
412,angry
413,disgusted
414,fearful
415,happy
416,neutral
417,surprised
418,sad
419,angry
420,disgusted
421,fearful
422,happy
423,neutral
424,surprised
425,sad
426,angry
427,disgusted
428,fearful
429,happy
430,neutral
431,surprised
432,sad
433,angry
434,disgusted
435,fearful
436,happy
437,neutral
438,surprised
439,sad
440,angry
441,disgusted
442,fearful
443,happy
444,neutral
445,surprised
446,sad
447,angry
448,disgusted
449,fearful
450,happy
451,neutral
452,surprised
453,sad
454,angry
455,disgusted
456,fearful
457,happy
458,neutral
459,surprised
460,happy
461,angry
462,disgusted
463,fearful
464,happy
465,neutral
466,surprised
467,sad
468,angry
469,disgusted
470,fearful
471,happy
472,neutral
473,angry
474,sad
475,neutral
476,disgusted
477,fearful
478,neutral
479,neutral
480,surprised
481,sad
482,angry
483,disgusted
484,fearful
485,happy
486,neutral
487,surprised
488,disgusted
489,angry
490,disgusted
491,fearful
492,happy
493,neutral
494,surprised
495,sad
496,angry
497,disgusted
498,fearful
499,happy
500,neutral
501,surprised
502,sad
503,neutral
504,disgusted
505,fearful
506,neutral
507,neutral
508,surprised
509,sad
510,angry
511,disgusted
512,fearful
513,happy
514,neutral
515,surprised
516,sad
517,angry
518,disgusted
519,fearful
520,happy
521,neutral
522,surprised
523,sad
524,angry
525,disgusted
526,fearful
527,happy
528,neutral
529,surprised
530,sad
531,angry
532,disgusted
533,fearful
534,happy
535,neutral
536,surprised
537,sad
538,angry
539,disgusted
540,neutral
541,happy
542,neutral
543,surprised
544,sad
545,angry
546,disgusted
547,fearful
548,happy
549,neutral
550,surprised
551,sad
552,angry
553,disgusted
554,fearful
555,happy
556,neutral
557,neutral
558,sad
559,angry
560,disgusted
561,fearful
562,happy
563,neutral
564,surprised
565,sad
566,angry
567,disgusted
568,fearful
569,disgusted
570,neutral
571,surprised
572,sad
573,neutral
574,disgusted
575,fearful
576,neutral
577,neutral
578,angry
579,sad
580,neutral
581,disgusted
582,fearful
583,neutral
584,neutral
585,surprised
586,sad
587,angry
588,disgusted
589,fearful
590,happy
591,neutral
592,surprised
593,sad
594,angry
595,disgusted
596,fearful
597,disgusted
598,neutral
599,surprised
600,sad
601,angry
602,disgusted
603,fearful
604,happy
605,neutral
606,surprised
607,sad
608,angry
609,disgusted
610,fearful
611,happy
612,neutral
613,surprised
614,sad
615,angry
616,disgusted
617,fearful
618,happy
619,neutral
620,surprised
621,sad
622,angry
623,disgusted
624,fearful
625,happy
626,neutral
627,angry
628,sad
629,angry
630,disgusted
631,neutral
632,happy
633,neutral
634,surprised
635,sad
636,angry
637,disgusted
638,fearful
639,happy
640,neutral
641,surprised
642,sad
643,angry
644,disgusted
645,fearful
646,happy
647,neutral
648,surprised
649,sad
650,angry
651,disgusted
652,fearful
653,happy
654,neutral
655,surprised
656,sad
657,angry
658,disgusted
659,fearful
660,happy
661,neutral
662,surprised
663,sad
664,angry
665,disgusted
666,fearful
667,happy
668,neutral
669,surprised
670,sad
671,angry
672,disgusted
673,fearful
674,happy
675,neutral
676,surprised
677,sad
678,angry
679,disgusted
680,fearful
681,happy
682,neutral
683,surprised
684,happy
685,angry
686,disgusted
687,fearful
688,happy
689,neutral
690,surprised
691,sad
692,angry
693,disgusted
694,fearful
695,happy
696,neutral
697,surprised
698,sad
699,angry
700,disgusted
701,fearful
702,happy
703,neutral
704,surprised
705,sad
706,angry
707,disgusted
708,fearful
709,happy
710,neutral
711,surprised
712,sad
713,angry
714,disgusted
715,fearful
716,happy
717,neutral
718,surprised
719,sad
720,angry
721,disgusted
722,disgusted
723,happy
724,neutral
725,surprised
726,sad
727,angry
728,disgusted
729,fearful
730,disgusted
731,neutral
732,surprised
733,sad
734,neutral
735,disgusted
736,fearful
737,neutral
738,neutral
739,surprised
740,sad
741,angry
742,disgusted
743,fearful
744,happy
745,neutral
746,surprised
747,sad
748,angry
749,disgusted
750,fearful
751,happy
752,neutral
753,surprised
754,sad
755,angry
756,disgusted
757,fearful
758,happy
759,neutral
760,angry
761,neutral
762,angry
763,disgusted
764,fearful
765,happy
766,neutral
767,neutral
768,sad
769,angry
770,disgusted
771,fearful
772,happy
773,neutral
774,neutral
775,sad
776,angry
777,disgusted
778,fearful
779,happy
780,neutral
781,neutral
782,sad
783,angry
784,disgusted
785,fearful
786,happy
787,neutral
788,neutral
789,sad
790,angry
791,disgusted
792,fearful
793,happy
794,neutral
795,neutral
796,sad
797,angry
798,disgusted
799,fearful
800,happy
801,neutral
802,neutral
803,sad
804,angry
805,disgusted
806,fearful
807,disgusted
808,neutral
809,angry
810,sad
811,angry
812,disgusted
813,fearful
814,happy
815,neutral
816,surprised
817,sad
818,neutral
819,disgusted
820,fearful
821,neutral
822,neutral
823,surprised
824,sad
825,angry
826,disgusted
827,fearful
828,happy
829,neutral
830,surprised
831,sad
832,angry
833,disgusted
834,fearful
835,happy
836,neutral
837,surprised
838,sad
839,angry
840,disgusted
841,fearful
842,happy
843,neutral
844,surprised
845,sad
846,angry
847,disgusted
848,fearful
849,happy
850,neutral
851,surprised
852,happy
853,angry
854,disgusted
855,neutral
856,happy
857,neutral
858,surprised
859,sad
860,angry
861,disgusted
862,fearful
863,happy
864,neutral
865,surprised
866,sad
867,angry
868,disgusted
869,fearful
870,happy
871,neutral
872,surprised
873,sad
874,angry
875,disgusted
876,fearful
877,happy
878,neutral
879,surprised
880,sad
881,angry
882,disgusted
883,fearful
884,happy
885,neutral
886,surprised
887,sad
888,angry
889,disgusted
890,fearful
891,happy
892,neutral
893,fearful
894,sad
895,angry
896,disgusted
897,fearful
898,happy
899,neutral
900,angry
901,sad
902,angry
903,disgusted
904,fearful
905,disgusted
906,neutral
907,surprised
908,sad
909,neutral
910,disgusted
911,fearful
912,neutral
913,neutral
914,surprised
915,sad
916,angry
917,disgusted
918,fearful
919,happy
920,neutral
921,surprised
922,sad
923,angry
924,disgusted
925,fearful
926,happy
927,neutral
928,angry
929,sad
930,angry
931,disgusted
932,fearful
933,happy
934,neutral
935,surprised
936,happy
937,angry
938,disgusted
939,fearful
940,disgusted
941,neutral
942,angry
943,sad
944,angry
945,disgusted
946,fearful
947,disgusted
948,neutral
949,surprised
950,sad
951,angry
952,disgusted
953,neutral
954,happy
955,neutral
956,surprised
957,sad
958,angry
959,disgusted
960,fearful
961,happy
962,neutral
